ID,Keyword,Podcast Name,Episode Title,Audio URL
apple_bae2a975,lịch sử thế giới,SynapseLingo Learn Vietnamese,SynapseLingo Learn Vietnamese vocabulary from 02.05.2025,https://audio.podigee-cdn.net/1910734-m-458cb05909385ff75b7df5426b6324f4.mp3?source=feed
apple_646ff48f,lịch sử thế giới,SynapseLingo Learn Vietnamese,Learn Business Vietnamese with SynapseLingo | Basketball and Football Special,https://audio.podigee-cdn.net/1910732-m-b772d52603d98459c2ccfc392b97a555.mp3?source=feed
apple_798a4ca1,lịch sử thế giới,SynapseLingo Learn Vietnamese,SynapseLingo Learn Vietnamese vocabulary from 01.05.2025,https://audio.podigee-cdn.net/1908938-m-581bb28b0d9bde24ff445b91a66f3db8.mp3?source=feed
apple_c5891068,lịch sử thế giới,Ba Chấm,Trí tuệ cảm xúc | Dương Quang Minh - Education | Guest Speaker #133 - Episode 201,https://anchor.fm/s/5ee12838/podcast/play/112644629/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-15%2F414397703-44100-2-39e93263bf149.m4a
apple_b1038678,lịch sử thế giới,Ba Chấm,"Kỷ luật, thấu cảm, AI | Nguyễn Thị Minh Thúy - Principal | Speaker #132 - Episode 200",https://anchor.fm/s/5ee12838/podcast/play/112644700/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-15%2F414397509-44100-2-d4ae7f7eed446.m4a
apple_af051e0b,lịch sử thế giới,Ba Chấm,"Kham nhẫn, gia đình | Nguyễn Thanh Tùng - Education | Guest Speaker #131 - Episode 199",https://anchor.fm/s/5ee12838/podcast/play/112644632/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-15%2F414397833-44100-2-f5af5f12e8ddb.m4a
apple_227b34fd,lịch sử thế giới,Ba Chấm,"Tâm hồn, cảm xúc, kết nối, đồng hành | Hoàng Hà Minh - Education | Speaker #130 - Episode 198",https://anchor.fm/s/5ee12838/podcast/play/112644702/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-15%2F414397453-44100-2-9044d75f8d49.m4a
apple_30b6a733,lịch sử thế giới,Ba Chấm,"Khảo cổ, kiếp đời, tâm linh | Alex Giang - Archeology | Guest Speaker #129 - Episode 197",https://anchor.fm/s/5ee12838/podcast/play/112644626/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-15%2F414397713-44100-2-ac3fb0ff712b8.m4a
apple_707972b7,lịch sử thế giới,Noi's Blog Podcast,Sự tiến hóa của PetroDollar: Từ hiệp ước dầu mỏ đến sự thống trị của chip AI và khí hóa lỏng LNG,https://api.substack.com/feed/podcast/193135154/19343b24ee45fda2a99d72932b115296.mp3
apple_167dfa81,lịch sử thế giới,Noi's Blog Podcast,"Cú Sốc Trung Đông 2026: Đứt Gãy Năng Lượng, Khủng Hoảng ""Helium 5.0"" Và Quỹ Đạo Bấp Bênh Của Kinh Tế Toàn Cầu",https://api.substack.com/feed/podcast/192808990/7281458c84616b28fcfae059bbe2f455.mp3
