ID,Keyword,Podcast Name,Episode Title,Audio URL
apple_5280ddab,lối sống tối giản,Nguyen Bao Trong Podcast,"Vô thường, vô ngã, niết bàn một cách dễ hiểu | Podcast #9",https://anchor.fm/s/f8b1a1f4/podcast/play/105430081/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-6-13%2F403822583-44100-2-f547b3f161cb5.mp3
apple_ad003f17,lối sống tối giản,Review sách hay,Review sách Khởi nghiệp tinh gọn - Tập 12,https://anchor.fm/s/e670d988/podcast/play/112574471/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-13%2F0c7657b1-64d5-13b4-ce1d-fb33aac4d58d.m4a
apple_9ece5844,lối sống tối giản,Review sách hay,Review sách 100 ý tưởng kinh doanh tuyệt hay - Tập 11,https://anchor.fm/s/e670d988/podcast/play/112574465/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-13%2Fb5758192-fcbb-e5c8-2490-cf40e7cd139b.m4a
apple_88b00abd,lối sống tối giản,Review sách hay,Review sách Thanh niên nghiêm túc khởi nghiệp - Tập 10,https://anchor.fm/s/e670d988/podcast/play/112574029/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-13%2Fa74986b5-7b27-69df-e9ec-f186bea058f3.m4a
apple_ff03896d,lối sống tối giản,Review sách hay,Review sách Không theo lối mòn - Tập 9,https://anchor.fm/s/e670d988/podcast/play/112574024/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-13%2F70c0f138-14bf-74c9-cc3b-f7e0245264b0.m4a
apple_1b555d4c,lối sống tối giản,Review sách hay,Review sách Khởi nghiệp với 100$ - Tập 8,https://anchor.fm/s/e670d988/podcast/play/112574022/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-11-13%2F3e5dc363-f96e-e70b-c9d9-a8a6441b9c25.m4a
apple_2135a14a,lối sống tối giản,Thư Viện Sách Nói Có Bản Quyền,Những Nhà Tư Tưởng Lớn – Schopenhauer Trong 60 Phút [Sách Nói],https://media.transistor.fm/ccbad89d/2e389854.mp3
apple_1665abe9,lối sống tối giản,Thư Viện Sách Nói Có Bản Quyền,Happy Families - Gia Đình Hạnh Phúc [Sách Nói],https://media.transistor.fm/7c4afd7d/4be7439b.mp3
apple_69716f9c,lối sống tối giản,Thư Viện Sách Nói Có Bản Quyền,Lãnh Đạo: 6 Chiến Lược Gia Kiệt Xuất Định Hình Thế Giới [Sách Nói],https://media.transistor.fm/e4b1bda4/df2f51cb.mp3
apple_2e918970,lối sống tối giản,Thư Viện Sách Nói Có Bản Quyền,Outlive - Khoa Học và Nghệ Thuật Sống Trường Thọ [Sách Nói],https://media.transistor.fm/b0da7b45/ed32d169.mp3
