ID,Keyword,Podcast Name,Episode Title,Audio URL
apple_e84883a1,khoa học,Khoá Học Thai Giáo - LopHocMeBau.com by Nhà Đậu,5.2 - Tìm hiểu về cách âm nhạc kích thích trí não phát triển,https://anchor.fm/s/b1dde30/podcast/play/61983624/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-11-10%2F302276767-44100-2-5de514e7533c8.m4a
apple_998a70c3,khoa học,LEGEND SCIENCE- Vĩ Nhân Khoa Học - vibe Duy Nguyen,"HANNIBAL – ANH HÙNG CARTHAGE, CƠN ÁC MỘNG CỦA LA MÃ TRONG PUNIC WAR",https://anchor.fm/s/10c8ae3e8/podcast/play/116995488/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2026-2-16%2F420112870-44100-2-235729438c175.m4a
apple_9e8baaa8,khoa học,LEGEND SCIENCE- Vĩ Nhân Khoa Học - vibe Duy Nguyen,ST PAUL & NERO: 2 CÚ QUAY XE THAY ĐỔI LỊCH SỬ KITÔ GIÁO,https://anchor.fm/s/10c8ae3e8/podcast/play/116995345/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2026-2-16%2F420112681-44100-2-d68ed31f2a131.m4a
apple_dfa9cfdd,khoa học,LEGEND SCIENCE- Vĩ Nhân Khoa Học - vibe Duy Nguyen,ĐẾ CHẾ FRANKS TOURS 732: CHARLES MARTEL – CHIẾC BÚA CỦA CHÂU ÂU,https://anchor.fm/s/10c8ae3e8/podcast/play/116995085/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2026-2-16%2F420112305-44100-2-51775c9d964c5.m4a
apple_f1dee0ec,khoa học,LEGEND SCIENCE- Vĩ Nhân Khoa Học - vibe Duy Nguyen,"HAMILTON ĐẤU TRÍ VỚI JEFFERSON - NGÂN HÀNG TRUNG ƯƠNG, NỢ QUỐC GIA, ĐỒNG ĐÔ LA",https://anchor.fm/s/10c8ae3e8/podcast/play/115784686/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2026-1-20%2F418477334-44100-2-16e67c9fa6bb1.m4a
apple_6e6c033b,khoa học,LEGEND SCIENCE- Vĩ Nhân Khoa Học - vibe Duy Nguyen,"ĐEN TỐI VIỄN TÂY USA VÀ COWBOY BILLY THE KID, JESSE JAMES",https://anchor.fm/s/10c8ae3e8/podcast/play/115241761/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2026-1-9%2F417750671-44100-2-fd1833791d01b.m4a
apple_7e3aafef,khoa học,So Sanh Gia Khoa Hoc,Navigating My Prepaid Center,https://sosanhgiakhoahoc.com/file-podcast/myprepaidcentreorg.mp3
apple_d59c0bab,khoa học,Khoa Học Thời Đại,Công ty TNHH Dịch vụ Kỹ thuật Việt Nam (Vinatesco) - Vinapump.com,https://anchor.fm/s/ea662444/podcast/play/76672177/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-9-2%2F349431156-44100-2-0a012141fe7c6.m4a
apple_47cab203,khoa học,zing88 Giao dien truc quan bo cuc khoa hoc giup thao tac nhanh chong,zing88 Giao dien truc quan bo cuc khoa hoc giup thao tac nhanh chong,https://ngocbaomedia.com/podcast/zing88decom2/audio.mp3
apple_4688f454,khoa học,Khoa Học Không Khó - It's not rocket science,EP 02: Gương mặt của chúng ta đang bị đánh cắp như thế nào,https://api.spreaker.com/download/episode/43588919/ep_02.mp3
apple_39e49141,khoa học,Khoa Học Không Khó - It's not rocket science,EP 01: Khử trùng mọi lúc mọi nơi có thật sự giúp ngăn COVID?,https://api.spreaker.com/download/episode/43346234/ep_01.mp3
apple_143fd91e,khoa học,LỜI PHẬT DẠY - MỞ KHÓA SỨC MẠNH TRÍ TUỆ CỦA ĐỨC PHẬT VỚI NHỮNG BÀI HỌC ẤN TƯỢNG,"Thoát khỏi ""Lồng Giới Hạn"": Chọn bạn mà chơi, chọn đời mà sống",https://anchor.fm/s/f7e712e0/podcast/play/103626795/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-5-3%2F401531497-44100-2-aca42f4996e2.mp3
apple_e368ce6c,khoa học,LỜI PHẬT DẠY - MỞ KHÓA SỨC MẠNH TRÍ TUỆ CỦA ĐỨC PHẬT VỚI NHỮNG BÀI HỌC ẤN TƯỢNG,"Đừng Chỉ Sống, Hãy Cảm Nhận - Câu Chuyện Bệnh Viện Lay Động Lòng Người",https://anchor.fm/s/f7e712e0/podcast/play/103530115/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-5-2%2F401408230-44100-2-ea40a814bde1f.mp3
apple_bbd75a71,khoa học,LỜI PHẬT DẠY - MỞ KHÓA SỨC MẠNH TRÍ TUỆ CỦA ĐỨC PHẬT VỚI NHỮNG BÀI HỌC ẤN TƯỢNG,"Vì Sao Người Già Tè Dầm Lại Phiền Phức?"" Câu Trả Lời Khiến Bạn Lặng Người",https://anchor.fm/s/f7e712e0/podcast/play/103530025/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-5-2%2F401408014-44100-2-aceb43c41cea7.mp3
apple_f97e0444,khoa học,LỜI PHẬT DẠY - MỞ KHÓA SỨC MẠNH TRÍ TUỆ CỦA ĐỨC PHẬT VỚI NHỮNG BÀI HỌC ẤN TƯỢNG,"Đừng Trách Đời Bất Công, Hãy Trách Mình Yếu Kém | Podcast Truyền Cảm Hứng",https://anchor.fm/s/f7e712e0/podcast/play/103457388/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-4-31%2F401317647-44100-2-295551af7d58.mp3
apple_5a4b0c95,khoa học,LỜI PHẬT DẠY - MỞ KHÓA SỨC MẠNH TRÍ TUỆ CỦA ĐỨC PHẬT VỚI NHỮNG BÀI HỌC ẤN TƯỢNG,LỜI PHẬT DẠY VỀ ĐỐI NHÂN XỬ THẾ: SỐNG HÀI HÒA NHƯNG CHỚ ĐỂ HÒA TAN! ,https://anchor.fm/s/f7e712e0/podcast/play/94440815/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-10-14%2F389840494-44100-2-a5093c5e64927.mp3
apple_716197f0,học ngoại ngữ,Alo Song Ngữ - Giải pháp học ngoại ngữ trực tuyến,Học tiếng Iceland qua phim Katla mùa 1 tập 8,https://play.hubhopper.com/362e74752d4dfbd7f42f695d2d8e0fc3.mp3?s=rss-feed
apple_324e4b9c,học ngoại ngữ,Alo Song Ngữ - Giải pháp học ngoại ngữ trực tuyến,Học tiếng Iceland qua phim Katla mùa 1 tập 7,https://play.hubhopper.com/56ed09e8915abd235b28baf67d04467d.mp3?s=rss-feed
apple_21161fa9,học ngoại ngữ,Alo Song Ngữ - Giải pháp học ngoại ngữ trực tuyến,Học tiếng Iceland qua phim Katla mùa 1 tập 6,https://play.hubhopper.com/62833532a79d7008c31a78ab926402fc.mp3?s=rss-feed
apple_5da85cd3,học ngoại ngữ,Alo Song Ngữ - Giải pháp học ngoại ngữ trực tuyến,Học tiếng Iceland qua phim Katla mùa 1 tập 5,https://play.hubhopper.com/994e3ad6c87482d1b0008f00dad1bf4c.mp3?s=rss-feed
apple_c2b1709b,học ngoại ngữ,Alo Song Ngữ - Giải pháp học ngoại ngữ trực tuyến,Học tiếng Iceland qua phim Katla mùa 1 tập 4,https://play.hubhopper.com/fd3ca41262c5446d7c471a3e7a21979c.mp3?s=rss-feed
apple_135c77d6,học ngoại ngữ,Ngoại ngữ và Du học Đài Loan,Học tiếng Hoa - 賽馬 - 2025-12-02,https://d1qd3zoyy91a2c.cloudfront.net/audio/program/20251202_2200_0444_vn.mp3
apple_338e76cd,học ngoại ngữ,Ngoại ngữ và Du học Đài Loan,Học tiếng Hoa - 烤肉 - 2025-12-01,https://d1qd3zoyy91a2c.cloudfront.net/audio/program/20251201_2200_1440_vn.mp3
apple_c6395807,học ngoại ngữ,Ngoại ngữ và Du học Đài Loan,"Góc giáo dục - ""Bảng xếp hạng khoa học liên ngành THE 2026"" các trường đại học thế giới",https://d1qd3zoyy91a2c.cloudfront.net/audio/program/20251130_2200_2029_vn.mp3
apple_6ff01ed2,học ngoại ngữ,Ngoại ngữ và Du học Đài Loan,Học tiếng Hoa (Th.Sáu) 成語、俗語 - 2025-11-28,https://d1qd3zoyy91a2c.cloudfront.net/audio/program/20251128_2200_1195_vn.mp3
apple_c9a00fb8,học ngoại ngữ,Ngoại ngữ và Du học Đài Loan,Học tiếng Hoa (Th.Năm) 抗議活動 (二) - 2025-11-27,https://d1qd3zoyy91a2c.cloudfront.net/audio/program/20251127_2200_1189_vn.mp3
apple_381edec8,tiếng anh giao tiếp,Trung Tâm Ngoại Ngữ Hà Nội,Cach hoc tu vung tieng anh giao tiep thi TOEIC,https://anchor.fm/s/603239ac/podcast/play/36831199/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-6-7%2F885fc175-eb29-925d-1e6e-d11a84bf4e12.m4a
apple_0260dbd6,tiếng anh giao tiếp,Trung Tâm Ngoại Ngữ Hà Nội,Mao tu la gi - Ngu phap giao tiep tieng Anh,https://anchor.fm/s/603239ac/podcast/play/36565112/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-6-2%2F708915c3-5a37-a1eb-afab-b0393f109e72.m4a
