ID,Keyword,Podcast Name,Host Name,Channel Description,Episode Title,Audio URL,Image URL
lich_su_064f9a5c,lịch sử,TỪ ĐIỂN LỊCH SỬ,Từ điển lịch sử,"TỪ ĐIỂN LỊCH SỬ là kênh tin tức tổng hợp về lĩnh vực lịch sử Việt Nam và thế giới. Hãy cùng chúng tôi khám phá những bí ẩn lớn nhất lịch sử nhân loại từ thời cổ đại đến hiện đại; đến những câu chuyện huyền thoại về thế giới tâm linh chưa thể lý giải.  ""Cách hữu hiệu nhất để hủy diệt một dân tộc là phủ nhận và phá hủy sự thấu hiểu của họ về lịch sử của chính họ"" - George Orwell. ""Thứ tạo nên lịch sử không phải là tình cảm của con người mà là hành động của con người"" - Norman Mailer.",Hồ sơ FULRO: Những bức thư giảm thiểu xương máu,https://anchor.fm/s/6396df80/podcast/play/74061806/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-6-31%2F7580878b-5791-04dc-4458-e208c48ef0b7.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts125/v4/e9/e1/bb/e9e1bb1b-2eaf-a598-fa71-e59e7e7e9f4c/mza_3022350846367244506.jpg/600x600bb.jpg
lich_su_4b49aef2,lịch sử,TỪ ĐIỂN LỊCH SỬ,Từ điển lịch sử,"TỪ ĐIỂN LỊCH SỬ là kênh tin tức tổng hợp về lĩnh vực lịch sử Việt Nam và thế giới. Hãy cùng chúng tôi khám phá những bí ẩn lớn nhất lịch sử nhân loại từ thời cổ đại đến hiện đại; đến những câu chuyện huyền thoại về thế giới tâm linh chưa thể lý giải.  ""Cách hữu hiệu nhất để hủy diệt một dân tộc là phủ nhận và phá hủy sự thấu hiểu của họ về lịch sử của chính họ"" - George Orwell. ""Thứ tạo nên lịch sử không phải là tình cảm của con người mà là hành động của con người"" - Norman Mailer.","Hồ sơ FULRO: “Hùm xám"" rời ""đại bản doanh""",https://anchor.fm/s/6396df80/podcast/play/74061790/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-6-31%2Ff8e825c6-713c-eec8-a347-0ab30b3d8c99.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts125/v4/e9/e1/bb/e9e1bb1b-2eaf-a598-fa71-e59e7e7e9f4c/mza_3022350846367244506.jpg/600x600bb.jpg
lich_su_3f83adf0,lịch sử,TỪ ĐIỂN LỊCH SỬ,Từ điển lịch sử,"TỪ ĐIỂN LỊCH SỬ là kênh tin tức tổng hợp về lĩnh vực lịch sử Việt Nam và thế giới. Hãy cùng chúng tôi khám phá những bí ẩn lớn nhất lịch sử nhân loại từ thời cổ đại đến hiện đại; đến những câu chuyện huyền thoại về thế giới tâm linh chưa thể lý giải.  ""Cách hữu hiệu nhất để hủy diệt một dân tộc là phủ nhận và phá hủy sự thấu hiểu của họ về lịch sử của chính họ"" - George Orwell. ""Thứ tạo nên lịch sử không phải là tình cảm của con người mà là hành động của con người"" - Norman Mailer.","Hồ sơ FULRO: ""Hội từ thiện Caritas"" đưa FULRO từ bóng tối ra ánh sáng",https://anchor.fm/s/6396df80/podcast/play/73999901/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-6-29%2F8ac4eb86-7615-2a2b-8be7-be46150b1a09.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts125/v4/e9/e1/bb/e9e1bb1b-2eaf-a598-fa71-e59e7e7e9f4c/mza_3022350846367244506.jpg/600x600bb.jpg
lich_su_6cfab5ba,lịch sử,TỪ ĐIỂN LỊCH SỬ,Từ điển lịch sử,"TỪ ĐIỂN LỊCH SỬ là kênh tin tức tổng hợp về lĩnh vực lịch sử Việt Nam và thế giới. Hãy cùng chúng tôi khám phá những bí ẩn lớn nhất lịch sử nhân loại từ thời cổ đại đến hiện đại; đến những câu chuyện huyền thoại về thế giới tâm linh chưa thể lý giải.  ""Cách hữu hiệu nhất để hủy diệt một dân tộc là phủ nhận và phá hủy sự thấu hiểu của họ về lịch sử của chính họ"" - George Orwell. ""Thứ tạo nên lịch sử không phải là tình cảm của con người mà là hành động của con người"" - Norman Mailer.","Hồ sơ FULRO: Lệnh truy nã ""thiếu tá"" Ya theng",https://anchor.fm/s/6396df80/podcast/play/73999882/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-6-29%2F5f07f3e7-63ac-b280-a353-a22bc5c3155b.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts125/v4/e9/e1/bb/e9e1bb1b-2eaf-a598-fa71-e59e7e7e9f4c/mza_3022350846367244506.jpg/600x600bb.jpg
lich_su_3446b9aa,lịch sử,TỪ ĐIỂN LỊCH SỬ,Từ điển lịch sử,"TỪ ĐIỂN LỊCH SỬ là kênh tin tức tổng hợp về lĩnh vực lịch sử Việt Nam và thế giới. Hãy cùng chúng tôi khám phá những bí ẩn lớn nhất lịch sử nhân loại từ thời cổ đại đến hiện đại; đến những câu chuyện huyền thoại về thế giới tâm linh chưa thể lý giải.  ""Cách hữu hiệu nhất để hủy diệt một dân tộc là phủ nhận và phá hủy sự thấu hiểu của họ về lịch sử của chính họ"" - George Orwell. ""Thứ tạo nên lịch sử không phải là tình cảm của con người mà là hành động của con người"" - Norman Mailer.","Hồ sơ FULRO: Cô y tá Thu Phương và ông ""mục sư"" bí ẩn",https://anchor.fm/s/6396df80/podcast/play/73999863/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-6-29%2F3aeb512d-8eb9-7813-4b54-bd7f79bcb881.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts125/v4/e9/e1/bb/e9e1bb1b-2eaf-a598-fa71-e59e7e7e9f4c/mza_3022350846367244506.jpg/600x600bb.jpg
lich_su_ad1f4416,lịch sử,Khám Phá Lịch Sử,Khám Phá Lịch Sử,"Tìm hiểu, nghiên cứu lịch sử - https://khamphalichsu.com",Vỡ màn hình điện thoại là điềm báo gì? Lời giải mã từ chuyên gia,https://khamphalichsu.com/wp-content/uploads/159503.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/5c/11/33/5c11331e-83c8-5191-3fce-86d927403aec/mza_5471509758524861296.jpg/600x600bb.jpg
lich_su_1debd0bb,lịch sử,Khám Phá Lịch Sử,Khám Phá Lịch Sử,"Tìm hiểu, nghiên cứu lịch sử - https://khamphalichsu.com",Văn Khấn Cúng Nhà Mới: Ý Nghĩa Tâm Linh Và Trình Tự Thực Hiện,https://khamphalichsu.com/wp-content/uploads/159485.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/5c/11/33/5c11331e-83c8-5191-3fce-86d927403aec/mza_5471509758524861296.jpg/600x600bb.jpg
lich_su_f00a9407,lịch sử,Khám Phá Lịch Sử,Khám Phá Lịch Sử,"Tìm hiểu, nghiên cứu lịch sử - https://khamphalichsu.com",Văn Khấn Tạ Lễ: Ý Nghĩa Và Quy Trình Chuẩn Xác Trong Văn Hóa Việt,https://khamphalichsu.com/wp-content/uploads/159457.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/5c/11/33/5c11331e-83c8-5191-3fce-86d927403aec/mza_5471509758524861296.jpg/600x600bb.jpg
lich_su_aa38f348,lịch sử,Khám Phá Lịch Sử,Khám Phá Lịch Sử,"Tìm hiểu, nghiên cứu lịch sử - https://khamphalichsu.com",Mơ thấy chồng bị tai nạn là điềm gì? Lành hay dữ? Đánh con gì?,https://khamphalichsu.com/wp-content/uploads/159420.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/5c/11/33/5c11331e-83c8-5191-3fce-86d927403aec/mza_5471509758524861296.jpg/600x600bb.jpg
lich_su_e9967da6,lịch sử,Khám Phá Lịch Sử,Khám Phá Lịch Sử,"Tìm hiểu, nghiên cứu lịch sử - https://khamphalichsu.com",Điềm báo thịt giật ở bắp tay báo hiệu điều gì? Tốt hay xấu?,https://khamphalichsu.com/wp-content/uploads/159403.mp3,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/5c/11/33/5c11331e-83c8-5191-3fce-86d927403aec/mza_5471509758524861296.jpg/600x600bb.jpg
